ID,SubVehID,Choice,Gap,RelativeSpeed,TW,Predicted,Predicted_1,Predicted_Class
1,9,1,12,0,0,0,0,0
2,13,0,16,2,1,2,2,2
3,13,2,15,1,1,2,2,2
4,13,0,15,0,1,0,0,0
5,36,1,12,0,0,0,0,0
6,47,2,15,0,0,2,2,2
7,74,2,14,2,1,2,2,2
8,76,2,14,-1,1,0,0,0
9,77,2,14,3,0,2,2,2
10,77,0,16,4,0,2,2,2
11,78,2,14,1,0,2,2,2
12,82,0,14,-1,0,0,0,0
13,82,2,15,0,0,2,2,2
14,82,1,15,0,0,2,2,2
15,86,2,16,5,1,2,2,2
16,86,2,14,-1,0,0,0,0
17,87,2,16,1,0,2,2,2
18,87,2,15,1,0,2,2,2
19,95,1,13,-3,1,0,0,0
20,95,0,15,0,1,0,0,0
21,95,0,15,0,1,0,0,0
22,98,1,13,-2,0,0,0,0
23,102,2,13,0,0,0,0,0
24,109,2,14,2,0,2,2,2
25,111,0,15,0,1,0,0,0
26,111,2,14,0,1,0,0,0
27,113,2,16,0,0,2,2,2
28,122,2,15,0,0,2,2,2
29,122,2,17,0,0,2,2,2
30,125,2,16,1,1,2,2,2
31,125,1,12,-1,0,0,0,0
32,143,0,16,1,0,2,2,2
33,160,2,16,0,0,2,2,2
34,168,0,13,-3,1,0,0,0
35,172,0,13,0,0,0,0,0
36,186,0,13,-3,0,0,0,0
37,187,2,16,6,1,2,2,2
38,193,2,16,1,1,2,2,2
39,199,0,16,0,0,2,2,2
40,199,1,14,0,0,2,2,2
41,199,2,16,0,0,2,2,2
42,199,0,16,0,0,2,2,2
43,199,2,15,1,0,2,2,2
44,199,2,16,0,0,2,2,2
45,201,1,16,0,0,2,2,2
46,201,0,12,-2,0,0,0,0
47,204,2,19,9,1,2,2,2
48,204,1,20,10,1,2,2,2
49,205,1,14,-3,0,0,0,0
50,205,0,16,-1,0,2,2,2
51,205,2,17,1,0,2,2,2
52,207,2,17,-1,0,2,2,2
53,207,0,13,-2,0,0,0,0
54,207,2,15,0,0,2,2,2
55,207,2,16,0,0,2,2,2
56,209,2,17,-1,0,2,2,2
57,209,2,21,2,0,2,2,2
58,209,2,18,0,0,2,2,2
59,209,0,15,-2,0,0,0,0
60,223,0,16,0,1,2,2,2
61,223,2,17,3,1,2,2,2
62,223,2,16,7,1,2,2,2
63,231,2,14,0,1,0,0,0
64,231,0,16,2,1,2,2,2
65,231,2,15,2,1,2,2,2
66,240,2,13,2,1,2,2,2
67,240,2,14,3,1,2,2,2
68,240,2,13,0,1,0,0,0
69,240,2,13,1,1,0,0,0
70,242,0,14,-1,0,0,0,0
71,242,2,14,0,0,2,2,2
72,245,0,14,1,1,2,2,2
73,252,2,12,0,0,0,0,0
74,255,0,13,-1,0,0,0,0
75,256,2,15,0,1,0,0,0
76,260,0,13,0,1,0,0,0
77,260,0,12,0,1,0,0,0
78,260,2,12,0,1,0,0,0
79,265,2,13,0,0,0,0,0
80,266,1,14,1,1,2,2,2
81,271,0,13,-2,0,0,0,0
82,278,1,9,-4,1,0,0,0
83,281,0,12,-4,1,0,0,0
84,281,0,12,-3,1,0,0,0
85,282,0,13,0,1,0,0,0
86,284,2,15,0,0,2,2,2
87,284,2,16,4,0,2,2,2
88,285,0,13,0,0,0,0,0
89,285,2,13,1,0,2,2,2
90,304,0,15,-2,1,0,0,0
91,308,2,15,4,1,2,2,2
92,310,2,18,4,1,2,2,2
93,311,2,17,2,0,2,2,2
94,311,2,14,0,0,2,2,2
95,315,0,16,0,0,2,2,2
96,317,1,15,3,1,2,2,2
97,320,0,16,0,1,2,2,2
98,320,2,17,0,1,2,2,2
99,320,2,16,0,1,2,2,2
100,320,0,16,1,1,2,2,2
101,320,2,17,1,1,2,2,2
102,322,1,15,0,0,2,2,2
103,323,1,16,-2,0,0,0,0
104,328,0,14,-7,0,0,0,0
105,328,2,17,1,0,2,2,2
106,334,1,14,-2,0,0,0,0
107,339,2,19,1,0,2,2,2
108,341,2,15,1,0,2,2,2
109,341,0,16,4,0,2,2,2
110,344,2,18,2,0,2,2,2
111,344,2,15,2,0,2,2,2
112,345,0,21,2,0,2,2,2
113,345,1,15,-2,0,0,0,0
114,345,0,15,0,0,2,2,2
115,361,0,12,-3,0,0,0,0
116,379,0,12,0,0,0,0,0
117,380,2,14,1,0,2,2,2
118,380,2,13,2,0,2,2,2
119,383,2,13,0,0,0,0,0
120,383,2,12,0,0,0,0,0
121,383,2,13,0,0,0,0,0
122,390,1,14,0,0,2,2,2
123,393,0,12,-1,0,0,0,0
124,395,1,17,1,0,2,2,2
125,395,0,12,0,0,0,0,0
126,395,2,13,1,0,2,2,2
127,396,2,12,0,0,0,0,0
128,398,2,15,-1,0,0,0,0
129,398,0,12,0,0,0,0,0
130,410,0,13,0,0,0,0,0
131,410,2,13,0,0,0,0,0
132,410,0,11,-1,0,0,0,0
133,410,2,12,0,0,0,0,0
134,457,2,17,0,0,2,2,2
135,457,0,15,-1,0,0,0,0
136,464,0,15,3,1,2,2,2
137,464,0,18,-1,0,2,2,2
138,465,0,14,-1,0,0,0,0
139,465,0,13,0,0,0,0,0
140,469,1,16,1,0,2,2,2
141,469,2,16,1,0,2,2,2
142,470,0,14,-1,0,0,0,0
143,471,0,15,-1,0,0,0,0
144,472,1,17,4,1,2,2,2
145,472,0,16,3,1,2,2,2
146,473,2,20,4,0,2,2,2
147,473,2,17,3,0,2,2,2
148,473,2,16,0,0,2,2,2
149,474,0,9,-4,0,0,0,0
150,477,2,19,3,0,2,2,2
151,477,2,14,0,0,2,2,2
152,477,2,18,2,0,2,2,2
153,480,2,20,5,1,2,2,2
154,480,0,16,5,1,2,2,2
155,480,2,19,1,0,2,2,2
156,480,2,18,1,0,2,2,2
157,480,2,17,0,0,2,2,2
158,480,0,14,-2,0,0,0,0
159,481,2,16,0,0,2,2,2
160,481,0,20,2,0,2,2,2
161,488,0,16,-1,1,0,0,0
162,488,1,16,0,1,2,2,2
163,489,2,17,0,0,2,2,2
164,489,2,17,0,0,2,2,2
165,493,0,15,-2,0,0,0,0
166,493,2,15,0,0,2,2,2
167,495,2,17,1,0,2,2,2
168,495,2,16,0,0,2,2,2
169,495,2,19,5,0,2,2,2
170,495,0,15,0,0,2,2,2
171,498,2,17,0,0,2,2,2
172,505,0,18,0,0,2,2,2
173,515,2,19,2,0,2,2,2
174,515,0,13,-2,0,0,0,0
175,522,0,10,-4,0,0,0,0
176,531,2,12,0,1,0,0,0
177,540,0,17,-1,0,2,2,2
178,540,2,17,0,0,2,2,2
179,540,0,14,-3,0,0,0,0
180,540,0,15,-1,0,0,0,0
181,540,2,17,0,0,2,2,2
182,543,0,15,-2,0,0,0,0
183,543,2,18,2,0,2,2,2
184,546,2,13,-2,0,0,0,0
185,546,2,15,1,0,2,2,2
186,546,0,14,0,0,2,2,2
187,546,2,15,0,0,2,2,2
188,553,2,17,4,0,2,2,2
189,559,2,14,1,0,2,2,2
190,559,1,13,0,0,0,0,0
191,565,2,16,0,0,2,2,2
192,566,2,12,-3,0,0,0,0
193,576,2,15,2,1,2,2,2
194,576,2,14,8,1,2,2,2
195,580,0,11,-2,0,0,0,0
196,592,2,13,-1,0,0,0,0
197,596,2,12,0,0,0,0,0
198,596,0,15,-1,0,0,0,0
199,605,2,16,2,1,2,2,2
200,605,0,16,2,1,2,2,2
201,605,2,19,11,1,2,2,2
202,609,2,17,-2,0,0,0,0
203,609,0,15,-1,0,0,0,0
204,612,0,15,-4,0,0,0,0
205,632,2,16,7,1,2,2,2
206,632,2,16,0,0,2,2,2
207,632,0,15,0,0,2,2,2
208,641,2,15,0,0,2,2,2
209,641,0,17,0,0,2,2,2
210,646,1,15,0,1,0,0,0
211,646,1,16,-1,1,0,0,0
212,646,0,15,-1,1,0,0,0
213,646,2,15,1,1,2,2,2
214,646,0,15,0,1,0,0,0
215,646,2,15,1,1,2,2,2
216,646,2,15,1,1,2,2,2
217,646,0,16,3,1,2,2,2
218,651,2,16,0,1,2,2,2
219,651,2,17,0,0,2,2,2
220,651,2,18,0,0,2,2,2
221,652,0,11,-4,1,0,0,0
222,652,2,16,1,1,2,2,2
223,652,1,14,0,1,0,0,0
224,660,0,14,0,1,0,0,0
225,663,2,16,4,1,2,2,2
226,663,2,14,0,1,0,0,0
227,667,1,14,0,0,2,2,2
228,667,2,16,0,0,2,2,2
229,672,2,15,0,0,2,2,2
230,672,0,13,-1,0,0,0,0
231,672,0,13,0,0,0,0,0
232,678,1,13,0,0,0,0,0
233,678,2,13,0,0,0,0,0
234,678,1,14,0,0,2,2,2
235,690,0,16,0,1,2,2,2
236,690,2,16,0,1,2,2,2
237,690,2,17,1,1,2,2,2
238,690,2,17,1,1,2,2,2
239,690,2,16,1,1,2,2,2
240,692,0,16,0,1,2,2,2
241,692,2,17,4,1,2,2,2
242,697,2,21,2,0,2,2,2
243,697,2,17,0,0,2,2,2
244,699,0,17,0,1,2,2,2
245,699,2,18,2,0,2,2,2
246,706,2,17,0,0,2,2,2
247,706,1,17,0,0,2,2,2
248,708,2,18,0,0,2,2,2
249,709,2,17,2,1,2,2,2
250,709,2,17,3,1,2,2,2
251,713,0,15,-3,1,0,0,0
252,713,2,17,0,1,2,2,2
253,713,2,16,0,0,2,2,2
254,713,0,17,-2,0,0,0,0
255,713,0,17,-3,0,0,0,0
256,716,1,17,0,0,2,2,2
257,721,2,18,-1,0,2,2,2
258,725,2,17,0,0,2,2,2
259,725,2,16,0,0,2,2,2
260,725,1,19,0,0,2,2,2
261,725,2,16,0,0,2,2,2
262,728,1,16,-3,0,0,0,0
263,728,0,15,-2,0,0,0,0
264,728,2,18,2,0,2,2,2
265,730,2,19,2,0,2,2,2
266,730,2,18,0,0,2,2,2
267,730,1,17,0,0,2,2,2
268,738,2,18,0,0,2,2,2
269,738,2,18,0,0,2,2,2
270,744,0,18,0,1,2,2,2
271,744,2,17,0,1,2,2,2
272,744,0,18,1,1,2,2,2
273,744,2,19,1,1,2,2,2
274,744,2,18,2,1,2,2,2
275,744,2,18,1,1,2,2,2
276,744,2,17,0,1,2,2,2
277,744,0,17,0,0,2,2,2
278,746,2,19,0,0,2,2,2
279,746,0,18,0,0,2,2,2
280,752,2,16,-1,0,2,2,2
281,753,2,19,4,0,2,2,2
282,753,2,18,3,0,2,2,2
283,753,2,18,1,0,2,2,2
284,754,0,16,-4,0,0,0,0
285,756,0,15,0,1,0,0,0
286,756,2,16,1,0,2,2,2
287,758,2,16,3,1,2,2,2
288,758,2,19,0,0,2,2,2
289,758,2,17,2,0,2,2,2
290,758,2,16,1,0,2,2,2
291,758,2,18,0,0,2,2,2
292,766,2,18,0,0,2,2,2
293,771,2,18,0,0,2,2,2
294,771,0,15,-1,0,0,0,0
295,771,2,18,0,0,2,2,2
296,771,2,15,-1,0,0,0,0
